utc_iso,utc_unix,synced,freq_hz,rocof_hz_s,vmag_phasor_rms,vmag_rms,phase_deg,tve_percent,mag_error_pct,phase_error_deg,crest_factor,gps_fix,overflow_blocks,dropped_frames
1970-01-01T00:07:31.877322+00:00,451.877321750,0,59.614450,-0.061233,118.491573,118.556402,115.605155,168.181047,-1.257023,115.605155,1.3756,0,487539,5971
1970-01-01T00:07:31.969482+00:00,451.969481750,0,59.618641,-0.061298,118.528524,118.594061,114.275923,166.967230,-1.226230,114.275923,1.3756,0,487539,5971
1970-01-01T00:07:32.062282+00:00,452.062281750,0,59.607514,-0.060528,118.501088,118.570187,-23.221386,40.019461,-1.249093,-23.221386,1.3751,0,487539,5971
1970-01-01T00:07:32.173002+00:00,452.173001770,0,59.634240,-0.046399,118.522209,118.590625,-24.062559,41.449936,-1.231492,-24.062559,1.3751,0,487539,5971
1970-01-01T00:07:32.283722+00:00,452.283721750,0,59.623285,-0.026803,118.528122,118.590007,-23.253624,40.078073,-1.226565,-23.253624,1.3754,0,487539,5971
1970-01-01T00:07:32.366922+00:00,452.366921820,0,59.629378,-0.019114,118.509728,118.573525,-23.907536,41.185172,-1.241893,-23.907536,1.3756,0,487539,5971
1970-01-01T00:07:32.477642+00:00,452.477641770,0,59.643371,0.012190,118.473822,118.532325,-25.668026,44.160377,-1.271815,-25.668026,1.3748,0,487539,5971
1970-01-01T00:07:32.569802+00:00,452.569801800,0,59.640280,0.016226,118.536936,118.596269,-25.108392,43.223971,-1.219220,-25.108392,1.3754,0,487539,5971
1970-01-01T00:07:32.680522+00:00,452.680521750,0,59.648352,0.036838,118.405802,118.487110,-26.743401,45.964417,-1.328498,-26.743401,1.3757,0,487539,5971
1970-01-01T00:07:32.773322+00:00,452.773321800,0,59.647375,0.036425,118.400542,118.451000,-26.511181,45.571920,-1.332882,-26.511181,1.3756,0,487539,5971
1970-01-01T00:07:32.874442+00:00,452.874441780,0,59.655815,0.043266,118.480245,118.549188,-28.888324,49.586542,-1.266463,-28.888324,1.3748,0,487539,5971
1970-01-01T00:07:32.985802+00:00,452.985801800,0,59.660724,0.048274,118.554761,118.613752,-30.456176,52.229034,-1.204365,-30.456176,1.3745,0,487539,5971
1970-01-01T00:07:33.077962+00:00,453.077961800,0,59.674481,0.046792,118.481449,118.553442,-152.582878,193.073566,-1.265459,-152.582878,1.3754,0,487539,5971
1970-01-01T00:07:33.170122+00:00,453.170121800,0,59.662161,0.042753,118.628407,118.689364,-152.322801,193.085049,-1.142994,-152.322801,1.3747,0,487539,5971
1970-01-01T00:07:33.280842+00:00,453.280841800,0,59.636831,0.030853,118.325418,118.392822,-150.913849,192.241373,-1.395485,-150.913849,1.3757,0,487539,5971
1970-01-01T00:07:33.373642+00:00,453.373641750,0,59.654965,0.014286,118.424448,118.487608,-152.726055,193.086114,-1.312960,-152.726055,1.3750,0,487539,5971
1970-01-01T00:07:33.465802+00:00,453.465801800,0,59.652176,0.010706,118.552843,118.616389,-152.346662,193.033826,-1.205964,-152.346662,1.3753,0,487539,5971
1970-01-01T00:07:33.576640+00:00,453.576639990,0,59.747718,0.051645,118.493260,118.547365,-171.516349,198.199994,-1.255616,-171.516349,1.3756,0,487539,5971
1970-01-01T00:07:33.687360+00:00,453.687359940,0,59.663304,0.039918,118.557532,118.623200,-154.332149,193.831757,-1.202057,-154.332149,1.3752,0,487539,5971
1970-01-01T00:07:33.779520+00:00,453.779519990,0,59.680106,0.035754,118.601925,118.658038,-158.494381,195.343766,-1.165062,-158.494381,1.3741,0,487539,5971
1970-01-01T00:07:33.881280+00:00,453.881280000,0,59.657111,0.020632,118.557465,118.618553,-152.049809,192.913846,-1.202112,-152.049809,1.3749,0,487539,5971
1970-01-01T00:07:33.992000+00:00,453.991999940,0,59.658725,0.009280,118.547109,118.604346,-152.572634,193.122493,-1.210742,-152.572634,1.3751,0,487539,5971
1970-01-01T00:07:34.084160+00:00,454.084160000,0,59.673815,0.015612,118.552035,118.622847,84.597151,133.789742,-1.206637,84.597151,1.3750,0,487539,5971
1970-01-01T00:07:34.176960+00:00,454.176959970,0,59.668856,0.011585,118.569264,118.635659,84.656409,133.875354,-1.192280,84.656409,1.3748,0,487539,5971
1970-01-01T00:07:34.287680+00:00,454.287679940,0,59.646742,-0.021678,118.766832,118.827257,86.071607,135.791808,-1.027640,86.071607,1.3745,0,487539,5971
1970-01-01T00:07:34.389440+00:00,454.389439990,0,59.620533,-0.058501,118.414733,118.487771,88.830425,139.049259,-1.321056,88.830425,1.3755,0,487539,5971
1970-01-01T00:07:34.481600+00:00,454.481599980,0,59.623299,-0.093296,118.556033,118.627260,88.489448,138.708002,-1.203306,88.489448,1.3745,0,487539,5971
1970-01-01T00:07:34.582720+00:00,454.582719990,0,59.627096,-0.057752,118.494588,118.563232,87.883170,137.917346,-1.254510,87.883170,1.3750,0,487539,5971
1970-01-01T00:07:34.684480+00:00,454.684479990,0,59.607281,-0.063620,118.537624,118.592690,92.090833,143.103249,-1.218647,92.090833,1.3753,0,487539,5971
1970-01-01T00:07:34.795200+00:00,454.795200020,0,59.632354,-0.059054,118.508299,118.571756,85.756916,135.246297,-1.243085,85.756916,1.3752,0,487539,5971
1970-01-01T00:07:34.888000+00:00,454.887999940,0,59.650688,-0.043908,118.663513,118.715835,80.533975,128.552992,-1.113739,80.533975,1.3745,0,487539,5971
1970-01-01T00:07:34.989760+00:00,454.989759940,0,59.644919,-0.031079,118.410082,118.489976,82.349087,130.802546,-1.324932,82.349087,1.3750,0,487539,5971
1970-01-01T00:07:35.090880+00:00,455.090879990,0,59.620560,-0.017445,118.573484,118.628393,-45.552036,76.973537,-1.188763,-45.552036,1.3749,0,487539,5971
1970-01-01T00:07:35.183680+00:00,455.183679960,0,59.616619,-0.003813,118.557879,118.613490,-45.557617,76.977601,-1.201768,-45.557617,1.3752,0,487539,5971
